Date,AAPL,BA,DIS,IBM,KO,MSFT,Day,Quarter
2009-12-31,7.526071548461914,54.130001068115234,32.25,130.89999389648438,28.5,30.479999542236328,Thursday,4
2010-01-04,7.643214225769043,56.18000030517578,32.06999969482422,132.4499969482422,28.520000457763672,30.950000762939453,Monday,1
2010-01-05,7.656428337097168,58.02000045776367,31.989999771118164,130.85000610351562,28.174999237060547,30.959999084472656,Tuesday,1
2010-01-06,7.534642696380615,59.77999877929688,31.81999969482422,130.0,28.165000915527344,30.770000457763672,Wednesday,1
2010-01-07,7.520714282989502,62.20000076293945,31.82999992370605,129.5500030517578,28.09499931335449,30.450000762939453,Thursday,1
2010-01-08,7.570714473724365,61.59999847412109,31.8799991607666,130.85000610351562,27.575000762939453,30.65999984741211,Friday,1
2010-01-11,7.5039286613464355,60.869998931884766,31.36000061035156,129.47999572753906,28.13500022888184,30.270000457763672,Monday,1
2010-01-12,7.418571472167969,60.43000030517578,30.81999969482422,130.50999450683594,28.440000534057617,30.06999969482422,Tuesday,1
2010-01-13,7.523214340209961,61.15999984741211,31.290000915527344,130.22999572753906,28.51499938964844,30.350000381469727,Wednesday,1
2010-01-14,7.479642868041992,61.560001373291016,31.020000457763672,132.30999755859375,28.565000534057617,30.959999084472656,Thursday,1
2010-01-15,7.354642868041992,60.81999969482422,30.600000381469727,131.77999877929688,28.145000457763672,30.86000061035156,Friday,1
2010-01-19,7.679999828338623,60.650001525878906,31.01000022888184,134.13999938964844,28.209999084472656,31.100000381469727,Tuesday,1
2010-01-20,7.561785697937012,60.20000076293945,31.190000534057617,130.25,27.75,30.59000015258789,Wednesday,1
2010-01-21,7.4310712814331055,59.20000076293945,30.61000061035156,129.0,27.184999465942383,30.01000022888184,Thursday,1
2010-01-22,7.0625,57.77000045776367,29.979999542236328,125.5,27.1200008392334,28.959999084472656,Friday,1
2010-01-25,7.252500057220459,57.77999877929688,29.920000076293945,126.12000274658205,27.174999237060547,29.31999969482422,Monday,1
2010-01-26,7.355000019073486,57.709999084472656,29.65999984741211,125.75,27.06999969482422,29.5,Tuesday,1
2010-01-27,7.424285888671875,61.93000030517578,29.31999969482422,126.33000183105467,27.2549991607666,29.670000076293945,Wednesday,1
2010-01-28,7.117499828338623,62.560001373291016,29.350000381469727,123.75,27.09000015258789,29.15999984741211,Thursday,1
2010-01-29,6.859285831451416,60.59999847412109,29.549999237060547,122.38999938964844,27.125,28.18000030517578,Friday,1
2010-02-01,6.9546427726745605,61.70000076293945,29.520000457763672,124.66999816894533,27.190000534057617,28.40999984741211,Monday,1
2010-02-02,6.994999885559082,61.93999862670898,29.979999542236328,125.52999877929688,27.524999618530277,28.459999084472656,Tuesday,1
